month,n_trains,n_cancelled,n_rescheduled,perc_cancelled,perc_rescheduled
2024-01,246051,756,3195,0.003072533743004499,0.01298511284245949
2024-02,232587,1515,2701,0.006513691650866128,0.011612858844217432
2024-03,248021,2136,3005,0.00861217396913971,0.012115909539917992
2024-04,237089,848,2681,0.0035767159168076123,0.011307989826605198
2024-05,251208,1380,4078,0.005493455622432406,0.01623355944078214
2024-06,169997,2179,2642,0.01281787325658688,0.015541450731483497
2024-07,236088,2877,4496,0.012186133983938193,0.01904374639964759
2024-08,217936,728,2692,0.003340430218045665,0.012352250201894134
2024-09,233739,2806,4580,0.012004843008654953,0.019594504982052632
2024-10,249287,2986,4845,0.011978161717217503,0.019435429845920567
2024-11,234206,4645,4142,0.019832967558474163,0.017685285603272333
2024-12,225887,1905,3441,0.008433420249947983,0.015233280356992656
