train_class,n_trains,n_cancelled,n_rescheduled,perc_cancelled,perc_rescheduled
DIR,8,1,2,0.125,0.25
EC,15511,412,151,0.026561794855264005,0.009735026755205984
EN,1169,8,182,0.006843455945252352,0.15568862275449102
EXP,436,39,155,0.08944954128440367,0.3555045871559633
FA,6304,105,103,0.016656091370558377,0.016338832487309645
FB,3243,41,21,0.012642614862781376,0.0064754856614246065
FR,81834,807,1437,0.009861426790820442,0.01755993841190703
IC,37455,517,2480,0.013803230543318648,0.06621278867974903
IR,69,2,32,0.028985507246376812,0.463768115942029
MET,81752,1828,1748,0.022360309227908798,0.02138173989627165
NCL,556,163,15,0.2931654676258993,0.02697841726618705
REG,2722561,59129,37572,0.021718154340710824,0.013800241757668606
