train_class,train_number,departure,arrival,n_days_planned,n_cancelled,perc_cancelled
IC,1957,MESSINA CENTRALE,PALERMO CENTRALE,49,32,0.6530612244897959
REG,21988,LOCRI,ROCCELLA JONICA,48,12,0.25
REG,11275,NOVARA,MORTARA,98,24,0.24489795918367346
IC,1959,ROMA TERMINI,MESSINA CENTRALE,33,8,0.24242424242424243
IC,1965,MESSINA CENTRALE,PALERMO CENTRALE,71,17,0.23943661971830985
REG,21671,CATANZARO LIDO,LOCRI,38,9,0.23684210526315788
REG,94935,CATANZARO LIDO,LOCRI,39,9,0.23076923076923078
REG,7342,LOCRI,ROCCELLA JONICA,76,17,0.2236842105263158
REG,94934,LOCRI,CATANZARO LIDO,38,8,0.21052631578947367
REG,21688,GIAMPILIERI,MESSINA CENTRALE,68,14,0.20588235294117646
REG,7359,ROCCELLA JONICA,LOCRI,49,10,0.20408163265306123
REG,21690,GIAMPILIERI,MESSINA CENTRALE,69,14,0.2028985507246377
REG,21689,MESSINA CENTRALE,GIAMPILIERI,69,14,0.2028985507246377
REG,21691,MESSINA CENTRALE,GIAMPILIERI,69,14,0.2028985507246377
IC,1955,ROMA TERMINI,SIRACUSA,45,9,0.2
REG,18982,PONTASSIEVE,FIRENZE SANTA MARIA NOVELLA,96,19,0.19791666666666666
IC,1961,MESSINA CENTRALE,PALERMO CENTRALE,83,16,0.1927710843373494
REG,21692,GIAMPILIERI,MESSINA CENTRALE,68,13,0.19117647058823528
REG,21685,MESSINA CENTRALE,GIAMPILIERI,69,13,0.18840579710144928
REG,21680,GIAMPILIERI,MESSINA CENTRALE,69,13,0.18840579710144928
REG,21693,MESSINA CENTRALE,GIAMPILIERI,69,13,0.18840579710144928
REG,21683,MESSINA CENTRALE,GIAMPILIERI,69,13,0.18840579710144928
REG,21684,GIAMPILIERI,MESSINA CENTRALE,69,13,0.18840579710144928
REG,11435,BORGOMANERO,NOVARA,82,15,0.18292682926829268
REG,21681,MESSINA CENTRALE,GIAMPILIERI,69,12,0.17391304347826086
